modulkuerzel,titel,ects,pruefungsform,modultyp,fachbereich,note,benoetigt,semester,lernstatus,meilenstein_datum
DLBDSEAIS01-01_D,Artificial Intelligence,5,Klausur,Pflicht,KI,2.3,,1,,
DLBDSIPWP01_D,Einfuehrung in die Programmierung mit Python,5,Klausur,Pflicht,Programmierung,2.0,,1,,
DLBBIMD01,Mathematik: Analysis,5,Klausur,Pflicht,Mathematik,4.0,,1,,
DLBWIRITT01,Einfuehrung in das wissenschaftliche Arbeiten fuer IT und Technik,5,Advanced Workbook,Pflicht,Grundlagen,1.0,,1,,
DLBKA01,Kollaboratives Arbeiten,5,Fachpraesentation,Wahlpflicht,Grundlagen,1.0,,1,,
DLBDSOOFPP01_D,Projekt: Objektorientierte und funktionale Programmierung mit Python,5,Portfolio,Pflicht,Programmierung,,Einfuehrung in die Programmierung mit Python,1,SKRIPTBEARBEITUNG,2026-05-30
DLBBIM01,Mathematik: Lineare Algebra,5,Klausur,Pflicht,Mathematik,2.0,,2,,
DLBDSSPDS01_D,Statistik - Wahrscheinlichkeit und deskriptive Statistik,5,Klausur,Pflicht,Mathematik,2.3,,2,,
DLBDSSIS01_D,Statistik - Induktive Statistik,5,Klausur,Pflicht,Mathematik,,,2,,
DLBAIINLP01_D,Einfuehrung in NLP,5,Klausur,Pflicht,KI,,,2,,
DLBAIPNLP01_D,Projekt: NLP,5,Projektbericht,Pflicht,KI,,Einfuehrung in NLP,2,,
DLBIHK01,Interkulturelle und ethische Handlungskompetenzen,5,Advanced Workbook,Wahlpflicht,Grundlagen,2.0,,2,,
DLBDSMLSL01_D,Maschinelles Lernen - Supervised Learning,5,Klausur,Pflicht,KI,,,3,,
DLBDSMLUSL01_D,Maschinelles Lernen - Unsupervised Learning und Feature Engineering,5,Fallstudie,Pflicht,KI,,,3,,
DLBDSNNDL01-01_D,Neuronale Netze und Deep Learning,5,Fachpraesentation,Pflicht,KI,,,3,,
DLBAIICV01_D,Einfuehrung in Computer Vision,5,Klausur,Pflicht,KI,,,3,,
DLBAIPCV01_D,Projekt: Computer Vision,5,Projektbericht,Pflicht,KI,,Einfuehrung in Computer Vision,3,,
DLBAIIRL01_D,Einfuehrung in das Reinforcement Learning,5,Klausur,Wahlpflicht,KI,,,4,,
DLBISIC01,Einfuehrung in Datenschutz und IT-Sicherheit,5,Klausur,Pflicht,Grundlagen,,,4,,
DLBDSCC01_D,Cloud Computing,5,Klausur,Pflicht,Grundlagen,,,4,,
DLBDSSECDS01_D,Seminar: Ethische Fragen der Data Science,5,Seminararbeit,Pflicht,Grundlagen,,,4,,
DLBSEPC01_D,Projekt: Cloud Programming,5,Portfolio,Wahlpflicht,Programmierung,,Cloud Computing,4,,
DLBDSDSSE01_D,Data Science Software Engineering,5,Portfolio,Pflicht,Programmierung,,,4,,
DLBDSMTP01_D,Projekt: Vom Modell zum Produktvertrieb,5,Projektbericht,Pflicht,KI,,,4,,
DLBAIPEAI01_D,Projekt: Edge AI,5,Projektbericht,Wahlpflicht,KI,,,5,,
DLBMIUEX02,UX-Projekt,5,Portfolio,Pflicht,Grundlagen,,,5,,
DLBROIR01-01_D,Einfuehrung in die Robotik,5,Klausur,Pflicht,KI,,,5,,
DLBDBAPM01,Projekt: Agiles Projektmanagement,5,Portfolio,Pflicht,Grundlagen,,,5,,
DLBMIUEX01-01,User Experience,5,Klausur,Pflicht,Grundlagen,,,5,,
WPB_A,Wahlpflichtmodul A,10,Portfolio,Wahlpflicht,KI,,,5,,
WPB_B,Wahlpflichtmodul B,10,Portfolio,Wahlpflicht,Grundlagen,,,5,,
DLBDSME01_D,Model Engineering,5,Fallstudie,Wahlpflicht,KI,,,6,,
WPB_C,Wahlpflichtmodul C,10,Portfolio,Wahlpflicht,KI,,,6,,
BBAK01,Bachelorarbeit,9,Bachelorarbeit,Pflicht,Abschluss,,,6,,
BBAK02,Kolloquium,1,Kolloquium,Pflicht,Abschluss,,Bachelorarbeit,6,,
